-,co,el,ht,be,ny,cy,hr,uk,ha,ja,lo,yo,km,sw,tg,zh-CN,no,pt,jw,uz,sq,af,is,sn,lb,xh,sk,haw,hy,la,ku,si,ne,mi,fy,bn,tl,sv,es,pa,yi,eo,gu,da,de,ka,lt,fa,iw,sm,gd,te,ceb,kk,pl,ru,vi,am,my,bg,mt,eu,zh-TW,ms,hi,kn,lv,gl,et,ig,su,th,sl,ky,ar,ml,so,ca,ko,ps,hmn,ur,sr,ro,cs,nl,tr,mk,bs,id,ga,ta,zu,sd,mn,st,it,az,fr,mr,fi,hu,mg,,
co,0,27,46,35,26,23,26,22,27,20,37,25,40,39,41,25,14,41,27,32,39,22,29,30,31,29,30,23,36,18,21,23,26,38,27,25,28,22,45,34,13,42,16,20,31,28,29,29,20,31,36,16,32,32,23,22,22,32,21,31,37,50,25,41,32,24,33,69,29,21,18,21,34,10,16,18,40,55,26,28,27,30,25,32,32,26,31,35,28,26,20,20,27,25,38,22,54,28,43,31,22,23,43,4,424
el,27,0,35,49,29,32,52,42,30,27,42,28,37,37,51,36,38,40,25,50,49,39,43,27,36,36,38,20,45,19,19,35,38,37,41,35,27,42,49,34,30,43,25,40,39,38,46,52,50,36,38,33,40,49,45,39,36,51,25,54,42,40,36,40,45,40,30,52,30,22,31,37,39,13,31,27,38,45,34,45,24,42,45,51,50,42,54,39,51,39,23,29,39,32,39,38,44,38,46,30,53,49,42,13,
ht,46,35,0,38,54,47,38,39,42,26,79,32,85,54,55,41,24,43,59,47,46,35,45,36,58,41,25,25,45,24,27,37,49,49,37,54,56,48,45,57,30,38,34,31,45,38,41,32,33,59,44,27,55,51,28,32,48,43,32,38,47,44,41,78,42,37,38,56,35,36,37,44,51,17,32,25,46,44,26,48,42,44,36,44,42,38,38,53,52,75,36,35,42,34,69,43,37,34,55,48,28,44,81,22,
be,35,49,38,0,47,27,56,79,40,26,31,25,40,53,53,30,37,35,31,70,62,52,56,30,42,36,50,31,69,26,20,34,44,42,42,40,31,42,48,41,27,37,37,34,49,65,59,35,36,42,41,39,50,71,51,106,38,42,34,58,62,28,30,44,44,44,52,47,43,38,45,33,46,21,35,30,43,46,32,50,33,42,39,46,50,46,48,56,46,43,24,48,45,36,62,36,42,58,39,31,50,42,51,26,
ny,26,29,54,47,0,44,32,45,77,24,60,57,62,127,54,30,20,23,53,62,36,34,33,150,47,120,38,66,45,28,47,46,49,80,38,58,48,28,30,45,33,40,36,23,27,44,53,36,45,99,68,29,53,45,26,30,36,72,39,36,34,34,30,53,50,52,38,38,45,82,40,36,36,31,21,58,77,41,29,62,75,39,28,33,33,30,42,44,32,39,34,46,140,49,67,133,30,49,15,54,28,26,81,32,
cy,23,32,47,27,44,0,27,35,33,26,41,26,47,48,43,30,23,23,34,45,36,35,42,33,34,41,22,18,40,13,25,31,37,36,29,50,34,30,27,34,23,43,34,31,32,33,29,32,29,38,67,23,27,42,25,24,37,47,16,30,30,29,30,44,35,44,32,44,30,26,26,31,36,15,28,24,40,33,27,27,35,36,26,21,27,26,33,40,32,38,55,28,38,26,47,29,22,35,25,33,20,28,40,3,
hr,26,52,38,56,32,27,0,53,33,24,36,17,41,37,55,31,35,38,29,48,48,38,36,26,40,35,38,35,49,25,22,32,41,31,39,37,36,46,41,35,29,42,32,41,52,49,53,44,44,39,36,23,35,56,51,51,37,46,27,64,36,30,31,45,29,37,51,44,41,26,35,33,75,30,34,25,43,46,24,49,31,35,82,37,52,40,52,71,74,45,28,30,42,36,43,34,44,47,41,40,49,49,38,17,
uk,22,42,39,79,45,35,53,0,37,29,28,23,42,37,53,31,38,36,34,50,44,38,35,28,48,35,30,25,54,17,18,25,37,32,35,37,32,41,36,25,32,42,23,37,42,60,58,30,41,35,28,20,31,67,45,74,30,44,27,64,35,25,31,47,32,37,57,43,43,29,40,27,54,22,27,34,50,33,20,44,28,40,40,52,50,35,34,58,59,39,33,32,34,25,59,36,46,51,41,30,38,43,38,19,
ha,27,30,42,40,77,33,33,37,0,21,44,60,52,72,56,31,18,19,46,41,34,36,43,54,34,79,29,51,38,28,41,40,45,84,29,51,48,26,23,42,24,33,33,19,25,32,36,43,34,73,68,42,48,40,25,27,36,50,37,35,34,33,31,48,42,45,27,41,31,80,43,44,38,21,23,38,86,34,33,60,61,39,27,23,28,22,40,32,33,39,33,50,79,31,57,73,23,38,25,40,32,20,65,22,
ja,20,27,26,26,24,26,24,29,21,0,34,19,35,30,40,52,20,24,29,41,18,26,29,31,23,42,25,16,36,12,16,33,36,26,18,23,27,24,27,31,12,24,21,28,30,29,38,33,33,34,31,21,16,39,23,28,44,36,20,31,22,24,52,39,39,30,31,29,35,23,25,26,27,17,22,25,32,24,47,37,26,26,26,27,27,22,33,29,26,39,25,25,33,30,42,26,31,25,21,23,28,26,32,2,
