-,lb,my,mi,cy,ny,ceb,hu,no,ku,ha,pa,fi,hi,ca,eu,lv,ig,sl,ja,af,mk,yo,sd,sw,da,iw,uz,it,ka,fr,si,ht,lt,kn,gd,vi,mt,hmn,ms,gl,hy,st,sr,su,co,gu,yi,tg,hr,ro,fa,fy,is,so,sv,ta,la,ga,id,be,ru,am,az,ne,tr,zu,tl,mg,haw,eo,es,lo,sk,mn,zh-CN,zh-TW,el,sq,sn,jw,sm,et,bn,pl,cs,ps,ar,uk,mr,ky,ur,km,nl,xh,kk,de,bg,te,bs,ko,th,pt,ml,
lb,0,16,31,23,38,28,18,17,18,27,23,24,19,33,27,32,26,40,17,28,36,16,22,38,24,22,32,22,25,25,12,46,31,28,30,24,25,21,31,40,29,34,24,23,24,18,19,41,24,31,17,35,25,30,21,17,14,19,34,21,22,32,27,26,21,36,22,34,22,29,30,39,16,43,15,15,23,24,27,31,30,30,22,19,26,27,14,31,18,16,27,41,28,32,41,36,25,9,27,15,22,25,17,
my,16,0,14,9,21,16,8,14,12,23,22,13,16,17,14,19,13,18,10,16,15,13,18,22,9,11,30,9,16,12,13,16,17,22,18,11,13,19,21,15,21,21,16,18,11,15,13,22,14,12,18,13,21,25,7,19,5,14,15,20,12,22,19,19,15,17,13,19,12,14,13,24,19,27,18,18,16,18,16,14,17,21,23,10,12,23,10,13,21,15,25,28,7,18,23,10,12,16,14,9,16,11,14,
mi,31,14,0,23,56,34,18,13,23,51,39,19,32,17,21,22,63,24,16,24,22,54,31,58,17,17,31,15,17,10,25,35,19,18,37,23,24,47,37,15,21,53,23,29,24,25,29,35,20,22,24,18,23,51,16,26,16,28,31,32,16,41,20,35,23,44,35,39,78,19,11,37,16,43,21,21,24,21,36,33,71,21,34,11,24,42,13,25,24,8,30,47,15,50,36,18,22,20,24,18,22,10,21,
cy,23,9,23,0,29,18,11,12,15,19,21,12,23,18,12,21,19,21,15,20,20,16,15,27,19,17,32,11,18,11,19,29,16,23,38,21,16,20,23,19,23,17,14,17,11,25,13,29,12,14,15,19,25,29,17,20,8,27,21,13,15,24,22,23,16,25,21,23,13,19,15,26,9,28,17,17,15,18,17,22,24,19,30,12,13,11,19,21,20,9,25,25,12,29,29,18,14,12,16,14,17,12,13,
ny,38,21,56,29,0,29,14,12,33,51,30,18,34,24,22,28,58,18,15,20,21,40,33,89,12,23,45,17,29,10,26,37,35,32,44,18,20,49,31,21,23,98,17,27,21,24,25,35,16,23,19,27,22,44,16,32,18,20,25,29,18,40,32,36,28,89,30,48,45,27,16,40,20,44,15,15,17,21,100,31,60,31,38,11,22,40,15,30,34,24,22,37,17,85,35,21,28,16,17,15,16,11,35,
ceb,28,16,34,18,29,0,27,15,14,29,22,20,27,21,21,24,35,19,11,18,20,26,20,39,11,18,35,14,18,20,30,32,22,21,23,24,28,27,26,23,20,29,14,32,21,12,20,32,19,20,18,20,30,32,18,29,15,16,22,29,15,35,19,24,18,31,46,43,23,22,22,41,20,42,15,15,25,32,17,21,30,13,25,16,19,25,14,20,16,9,27,38,17,29,31,15,23,23,23,14,23,16,13,
hu,18,8,18,11,14,27,0,16,8,11,15,23,11,23,15,19,16,21,18,15,23,10,17,19,19,20,28,18,21,23,19,25,19,18,15,19,17,14,18,23,20,16,14,19,14,8,15,33,25,32,17,11,21,27,22,16,9,12,22,22,13,18,22,24,26,15,11,22,10,16,17,16,12,23,15,15,26,21,10,18,20,18,17,16,22,23,19,25,15,8,17,17,18,19,25,20,22,18,23,15,16,21,12,
no,17,14,13,12,12,15,16,0,6,7,19,21,14,18,6,24,9,12,14,21,14,11,13,20,41,14,19,9,11,16,9,14,14,14,15,10,15,9,17,17,15,20,10,20,9,14,13,19,19,11,11,25,19,18,31,14,11,7,21,24,13,24,16,16,14,18,11,17,12,14,13,12,13,19,10,10,20,18,12,11,13,16,16,20,17,13,9,21,16,9,17,17,11,13,14,25,15,10,14,11,16,20,7,
ku,18,12,23,15,33,14,8,6,0,21,19,12,25,14,16,29,17,13,7,10,9,14,46,23,7,17,17,8,25,6,15,16,33,20,20,16,13,26,21,10,26,21,25,17,17,15,11,27,13,15,18,20,12,27,7,9,13,7,15,14,11,20,19,39,12,27,12,23,21,11,10,26,18,24,14,14,8,8,22,12,25,39,25,6,8,40,13,11,16,26,36,30,10,31,23,13,9,12,9,6,9,7,24,
ha,27,23,51,19,51,29,11,7,21,0,30,21,24,17,20,18,52,22,13,22,20,40,21,41,9,22,26,13,21,12,24,27,23,26,46,20,22,42,28,24,23,52,16,27,17,23,21,33,24,16,30,20,31,55,15,33,16,20,25,25,17,24,20,34,22,45,30,41,36,21,16,25,18,32,18,18,19,20,32,28,46,19,31,10,19,35,16,25,28,13,22,30,11,44,24,15,21,24,19,20,23,13,24,
